兵士,soldier,"Three soldiers were injured in the bombing."
兵器,weapon,"That country possesses powerful weapons."
兵隊,soldier,"The soldiers were holding their guns."
武器,weapon,"They took their weapons and stood up."
武士,samurai,"His family background was that of a samurai."
でこぼこ,bumpy,"This road is bumpy."
弾,bullet,"He loaded the pistol with a bullet."
弾む,bounce,"This ball bounces well."
日の丸,rising sun flag,"Japan's national flag is called the 'Hinomaru'."
真ん丸,perfect circle,"The moon is perfectly round today."
爆発,explosion,"The dynamite exploded."
てのひら,palm,"I sweated in the palm of my hand."
爆弾,bomb,"A bomb was dropped on that town."
暴落,plunge,"The stock prices plunged yesterday."
暴力,violence,"Violence is unacceptable."
乱暴,violent,"You must not be violent toward others."
絶えず,continuously,"The phone rang continuously today."
とがる,sharp,"This pencil is sharp."
滅びる,perish,"That civilization perished thousands of years ago."
防ぐ,prevent,"Please stretch well to prevent injury."
防衛,defense,"The champion defended his title."
防止,prevention,"The police are working on crime prevention."
予防,prevention,"You can prevent cavities."
とんかつ,tonkatsu,"I ate tonkatsu for lunch."
防火,fire prevention,"There was a fire drill at school."
妨害,obstruction,"His business was obstructed."
不機嫌,moody,"Recently, that person seems moody."
徹夜,overnight,"I stayed up all night last night."
底,bottom,"The bottom of the glass is wet."
徹底的,thorough,"I searched the room thoroughly."
どんなに,no matter how,"She must have been so happy."
到底,absolutely,"It's absolutely impossible to arrive in Tokyo by tonight."
抵抗,resistance,"The criminal resisted the police."
敵,enemy,"There are enemies hiding over there."
態勢,system,"The system for starting the work is ready."
体系,structure,"We decided to review the work structure."
なめる,lick,"The dog licked my face."
理系,science,"He is a science student."
文系,arts,"She is an arts student."
綿,cotton,"I often wear cotton shirts."
繁栄,prosperity,"That country is economically prosperous."
日韓,Japan-Korea,"A Japan-Korea joint concert was held."
にらむ,glare,"She glared at me."
耐える,endure,"Can this building endure a major earthquake?"
矢印,arrow,"Please walk along the arrow."
爪切り,nail cutter,"Please get the nail cutter."
枠,frame,"Please write the answer inside the frame."
棒,stick,"What is this stick used for?"
人柄,personality,"Everyone loves his warm personality."
ねずみ,mouse,"A mouse appeared in the kitchen."
詰める,pack,"I packed the items in the bag."
詰まる,be clogged,"The printer's ink got clogged."
譲る,give,"My boss gave me the car."
誠に,truly,"Thank you truly."
盛り上げる,liven up,"The cheerleaders livened up the game."
のぞく,peek,"I peeked inside through the door gap."
盛り上がる,become lively,"The party last night was really lively."
盛る,serve,"Please serve the rice."
針,needle,"My mother threaded the needle."
釣り,fish,"My father loves fishing."
釣り合い,balance,"This paper airplane is not balanced."
のんき,carefree,"He is a very carefree guy."
釣り合う,balance,"Income and expenses do not balance."
鈍い,slow,"Today my mind is slow."
鈍感,insensitive,"I think that person is a little insensitive."
谷,valley,"That village is located in a deep valley."
余裕,room,"We have some room before departure."
入浴,bathing,"I bathe every day before bed."
はえ,fly,"The flies are buzzing around."
沿う,to follow,"I walked along the river."
浜,beach,"Tonight, there is a fireworks festival at the beach."
浜辺,beachside,"I picked up beautiful shells at the beachside."
湾,bay,"Tokyo Bay plays an important role."
潜る,to dive,"He was diving in the sea for a long time."
ばかばかしい,ridiculous,"It was a ridiculous movie but entertaining."
冷淡,indifferent,"He showed an indifferent attitude towards her."
泥,mud,"My shoes are covered in mud."
濁る,to become muddy,"The water in the pond is muddy."
湯飲み,teacup,"We pour tea into a teacup and rice into a bowl."
湯気,steam,"Steam is coming out of the kettle."
はかり,scale,"I use a scale when baking cakes."
漏れる,to leak,"Sound is leaking from his headphones."
漏らす,to let leak,"He is the one who leaked the secret."
漏る,to leak,"Rain is leaking from the ceiling."
濡らす,to wet,"I accidentally got my phone wet with water."
溝,ditch,"The car got stuck in the ditch."
はしご,ladder,"I used a ladder to climb onto the roof."
吐く,to spit,"He spat out harsh words."
嘆く,to lament,"Lamenting won't change anything."
虫歯,cavity,"Cavities can be prevented."
虫,insect,"Autumn insects are chirping in the garden."
忠実,loyal,"Dogs are loyal to their owners."
忠告,advice,"You should listen to the teacher's advice."
はだし,barefoot,"I ran around the sandy beach barefoot."
恵まれる,to be blessed,"We were blessed with good weather on the day."
道徳,morality,"I want to properly teach my children morality."
直径,diameter,"This circle has a diameter of 6 centimeters."
半径,radius,"This circle has a radius of 5 centimeters."
丼,bowl,"He ate rice in a bowl."
バツ,cross / wrong,"There are three crosses, so it's 85 points."
豆,bean,"I am boiling beans now."
粒,grain,"The child had large tears in her eyes."
麦,wheat,"We grow wheat in this field."
田畑,fields,"This village has many fields."
灯油,kerosene,"The stove ran out of kerosene."
はねる,to get hit / to bounce,"He got hit by a car but was unharmed."
電灯,electric light,"The electric lights turn on at 5 PM."
炎,flame,"The flame of the candle lit up the room."
皮肉,sarcasm,"He always speaks sarcastically."
皮膚,skin,"The skin gets dry in winter."
生臭い,fishy smell,"The cutting board smells fishy."
はれる,to swell,"My eyes are swollen this morning."
臭う,to smell,"The sink smelled, so I cleaned it."
面倒臭い,troublesome,"This calculation is troublesome."
匂う,to smell good,"The roses are giving off a sweet scent."
同居,living together,"I still live with my parents."
掘る,to dig,"Let's dig a hole here."
ひく,to run over,"Be careful not to get run over by a car."
塀,wall,"A cat is sleeping on the wall."
大層,very / greatly,"He was very happy."
履歴,history,"Recently used files can be opened from the history."
履歴書,resume,"I wrote a resume for the interview."
履物,footwear,"Please put your footwear in the shoe rack."
ヒント,hint,"Please give me a hint."
戸棚,cupboard,"Please store these dishes in the cupboard."
扉,door,"He opened the door."
羽根,feather,"This pen is made from a bird feather."
翌日,next day,"The next day, I went to see him."
翌朝,next morning,"The next morning was sunny."
翌年,next year,"She got married the year after graduating from university."
ファックス,fax,"Details will be sent by fax."
群れ,flock,"There was a flock of birds on the lake."
殴る,to hit,"He hit his friend impulsively."
要旨,summary,"The summary of the meeting is as follows."
肌,skin,"She has very fair skin."
肌着,underwear,"Because it was cold, I wore warm underwear."
ふもと,foothills,"He lives at the foothills of the mountain."
肌色,skin color,"She is wearing a shirt in a skin color."
腸,intestine,"He underwent intestinal surgery."
大胆,bold,"She says pretty bold things."
幕,curtain,"The stage curtain rose."
夕暮れ,dusk,"The dusk sky is beautiful."
フルーツ,fruits,"This fruit jelly looks delicious."
墓,grave,"My grandfather's grave is nearby."
墓地,graveyard,"There is a graveyard next to the temple."
墓参り,visiting a grave,"Tomorrow we will visit the grave as a family."
芽,bud,"The tulip buds have sprouted."
葬式,funeral,"His funeral is tomorrow."
へそ,navel,"Frogs don't have a navel."
礼儀,manners,"She has good manners."
憎む,to hate,"He no longer hates her."
憎しみ,hatred,"His heart was filled with hatred."
憎らしい,hateful,"My sister sometimes says hateful things."
憎い,hateworthy,"Do you hate him?"
仏,Buddha,"I studied the teachings of Buddha."
べたべた,clingy,"The couple is being overly clingy."
仏教,Buddhism,"Funerals are often conducted in Buddhism."
坊さん,monk,"My friend is a monk."
竹,bamboo,"This flute is made of bamboo."
筆者,author,"Consider the author's intention."
筆記試験,writing exam,"The company's writing exam was difficult."
ほうき,broom,"I cleaned the garden with a broom."
筆記用具,writing tools,"I forgot my writing tools today."
筆,brush,"He wrote a letter with a brush."
笛,flute,"He is good at playing the flute."
